id,category/id,category/name,name
c616fb42-6f61-630a-e681-d170f84d1742,01d03c9b-1a50-4921-a896-d01372bab5bf,Mood,Out (Wood)
c63ce1d1-6178-7984-8629-6c70b180270a,01d03c9b-1a50-4921-a896-d01372bab5bf,Mood,Temperament
c6402d8d-4bf9-79f3-3c9a-be966d592c0d,fbd03361-1248-452d-97d9-40142566b764,Voice Family,Sing-talk vocals (Laurie Anderson)
c6532876-1bce-cafc-e425-5e028be85e3c,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Ragani- Kirtan (Yoga Chant)
c6635eef-1f82-29ce-5397-042c42a9b659,fdaca7b9-0bf3-48e6-8361-5bf26a1d62a3,Role,Writer (Lyricist)
c6708c6b-874f-4c94-b3d8-c45b058b6fb7,c3dc5e79-7da5-454e-8761-2159b038be22,Theme,Positive Selfesteem
c690946a-751c-e2e9-63f0-7e8cf8f59e23,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Glitter
c69ec17a-815b-1084-254f-69d83be4cd19,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Jam session
c6a9372b-6ebb-b55a-bd58-d0f22dc97a22,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,World Ambient Groove Dub
c6b2c1a1-7d10-163e-91e8-c2dcb975473a,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Upbeat / Anacrusis
c6c0983d-a48d-6ca6-5d9e-fc2f8d1eb632,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Christian rap
c6d2d699-7762-cb0b-b36f-64cadfdfaf6b,4b18e943-ebdf-421a-b711-704e09dedcd1,Language,Bengali
c6e5f39e-6158-8c7a-195b-65d0fb594cf0,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Passacaglia
c6f537d0-dde6-a70a-bd30-f6751744540b,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Bolero
c6f63dc3-0740-926e-1877-6918c7d57e83,a384ee29-60a6-4b0a-bb74-cd448363e12f,Visual,Visual : Military Music
c7027d3d-66f5-ca17-1cbe-baf94bc16378,97f8a5cb-5a0f-47f2-948b-d8c40c470517,Sub-style,Progressive House
c717cfd7-93ba-4224-a42b-0f8f6d0877bc,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Classical Music
c7190c66-16bd-440c-ab4d-3ef93d4e6b7b,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Non-Music
c735f90d-1d89-21d5-9444-0792de7b69a2,4b18e943-ebdf-421a-b711-704e09dedcd1,Language,Latvian
c7680aea-acc9-47b5-80f5-b7813a737173,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Drum & Bass
c78c90b9-1d2d-8ee3-c05f-b9e2716a53ee,a384ee29-60a6-4b0a-bb74-cd448363e12f,Visual,Visual : Animated cartoon
c7ca6f9b-1385-c94a-f3eb-b0dcb8ebb0da,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Mbube
c7d8569e-16bf-60f2-0559-34e78b967426,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Street hop
c7f7bf5e-11b8-8a7d-9047-faf893be214c,4092cc43-8550-4501-acd2-911b112db36c,Ethnic Group,Philippines
c81db582-6bdf-5a8b-0ac7-49e00d0a1f53,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Death Metal
c82d3aa1-6210-1a44-268e-9f7210700647,4b18e943-ebdf-421a-b711-704e09dedcd1,Language,Imaginary language
c8445cce-1c86-bb7c-94e9-675915368479,a384ee29-60a6-4b0a-bb74-cd448363e12f,Visual,Visual : Science
c84ad007-5b14-3678-ac5c-4d21998ca078,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,French blues
c86494b7-b7e3-1492-419c-9a761c3f03c8,01d03c9b-1a50-4921-a896-d01372bab5bf,Mood,serious
c86bdfe7-149c-f0da-50f2-33d81400cab4,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Wonky Pop
c88c7afc-fc19-0af3-d982-546e6864eb1e,01d03c9b-1a50-4921-a896-d01372bab5bf,Mood,wild
c8921979-fdea-0f64-a283-5eac1eb77fd4,4b18e943-ebdf-421a-b711-704e09dedcd1,Language,Saami
c898ac15-471c-52b6-e658-9bcb84e8d9cc,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Moderato
c898eea1-7475-3902-4f1a-942c9b5e1995,01d03c9b-1a50-4921-a896-d01372bab5bf,Mood,amicable
c8a50762-4bf7-50e6-397c-77c95c963f4a,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Speed Garage
c8b0d797-2d6b-7ad9-282c-09cb7545a612,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Bluegrass gospel
c8b8706c-588a-bb1a-6d98-d900533e579a,917cf1c3-df63-4cf9-8918-ef0cf814882e,Soundkey,B b major / si b majeur
c8ce51cc-9806-10c7-c5db-5f14ea3d69a1,01d03c9b-1a50-4921-a896-d01372bab5bf,Mood,biting
c8dc9d86-7644-ff64-3135-00310dbcf00c,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Baiao (music)
c8e408ab-904b-55bf-30f9-5551fe1dffb2,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Boogie Woogie
c8edf0e3-8b38-b0f4-47a1-25b2d17a7f11,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Timba
c8f9879f-679d-d539-d994-f94e439f9520,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Blues
c9018ca7-ed5c-4031-b477-a1c35947d193,c3dc5e79-7da5-454e-8761-2159b038be22,Theme,Dating
c93803de-e283-2289-b7d0-f0ec30a0c7f1,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Accordion & Bandoneon
c93cf8cd-e9a0-e2de-8dc3-498c7cfba680,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,hymns and National Anthems
c93d63ea-89d7-a310-e07f-25a05f1f5d7a,b9ef2d48-8352-4228-9809-f6ae19c107c2,Instruments Family,Piano soloist jazz master
c94ad72a-a4d4-81dd-53d8-0688d5857fb2,4b18e943-ebdf-421a-b711-704e09dedcd1,Language,Norwegian (norsk)
c95033a7-d588-5ebf-e11d-f1f56b4ddb89,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Onkyo
c96c3138-29bc-0e3c-775b-f6b39ce31219,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Alternative Folk soul / Pop
c9864e30-dc66-6d08-f732-141f6637ed13,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Bleep
c99d533f-96f2-2dbc-c704-34da9f1bac31,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Opera
c9a051b6-1d29-46ce-963b-3f1cbdcb3f47,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Metal Music
c9a7795c-6088-ad6d-ef05-050b5ce013e3,01d03c9b-1a50-4921-a896-d01372bab5bf,Mood,duelling
c9b3c00e-b379-bc6d-91ea-c51f1289ade5,d295b3ed-7903-47bb-8f7e-137b7f9b8309,Tracks Link,Remaster
c9d195c8-9c7b-2799-794b-cb2efec9d6cd,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Tech House/Electro House
c9e490bf-cbae-875e-0c24-8941f536d9f5,4092cc43-8550-4501-acd2-911b112db36c,Ethnic Group,Afro-american
ca192c2f-dcc1-0031-239c-500f70a9ec05,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Electro Body Music (EBM)
ca1d308a-394b-eb29-073f-edf74fef5f33,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Religion
ca345371-70f4-7513-c556-a14fdbafe474,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Powerviolence
ca51561d-e79b-f169-425b-23f23511ca68,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Hard Dance / UK Hard House / Hard House
ca59bcb5-c1f7-10d5-e96d-c9c8b8b19bac,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Stand up
ca6d7828-1efa-fd1a-774a-33efe22bb63d,fbd03361-1248-452d-97d9-40142566b764,Voice Family,High-pitched male (Jimmy Somerville)
ca7f2cb6-b5c4-febf-244d-453a6a6e0399,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Celtic Style
ca9e043a-c154-a4f6-fde5-ecb555234e42,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Rhumba (ballroom rumba)
cac5acff-424c-fd7c-d986-ea434e2f9e31,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Urban
caee2aa4-19ef-1a1c-84ac-b68f94919c3d,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Sacred
caeebf32-89d4-ad95-dfd1-759541072d30,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Raw
caefe031-a34c-ee10-6956-6ba6c3d7a456,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Darkwave
cb050dd4-f751-e18f-6f8a-f629d4c1b760,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Lo star
cb1a45f0-f951-be3a-8f9b-a2accd21ab10,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Psalm
cb2ad95e-d502-4e46-989a-6b37e70ec1db,8de7e7f9-b2ca-4ecc-be62-56da1a2e6e6e,Situation,Magical & enchanted
cb304441-eec1-3a05-3126-007cc5ed8f08,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Nazi / Neo-Nazi
cb33f8da-ce51-5869-89b0-80fd78f3176b,01d03c9b-1a50-4921-a896-d01372bab5bf,Mood,exploratory
cb3fc24b-f062-b6a3-a14a-08f9ebaef72d,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Breakdance
cb719ff7-7edc-4a88-9ab7-c8ed47880da9,e2c9567d-7b02-440b-85cc-2411749b08d7,Genre,Latin Dance
cb773155-1907-6a3a-3f43-27e98cde3163,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Process Generated
cb93c7ac-3e2a-d408-a828-fc6916308a18,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Rock argentino
cba22385-7cee-ddd1-9f27-a3af4a7c5d01,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Horror punk
cbaf4121-a271-b0de-d416-4e0e3c91f35b,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Sardana
cbb69a2e-a962-846e-5e32-93a53c7d81b1,e8fdf981-8d7d-4506-b463-20d8223585b9,Keyword,Flower Power
